Game Name,TA,GS,TAD,Num,Time,Score
Wer weiß denn sowas? - Das 3. Spiel,1531,1000,531,37,15.0,1309.8
Wenjia,1760,1000,760,13,2.0,4940.0
Wells,1753,1000,753,21,6.0,2635.5
Welcome to Hanwell,2563,1000,1563,16,8.0,3126.0
Welcome to Empyreum,2904,1000,1904,36,15.0,4569.6
Welcome To Elk,1089,1000,89,25,2.0,1112.5
Weird West: Definitive Edition,4240,1000,3240,53,25.0,6868.8
Weeping Willow (Xbox One),1000,1000,0,11,0.5,0.0
Weedcraft Inc,6028,1000,5028,34,100.0,1709.52
Webgeon Speedrun Edition,2096,2000,96,15,0.5,2880.0
Webbed,2586,1000,1586,19,11.0,2739.4545454545455
Weapon of Choice DX,4052,1000,3052,14,6.0,7121.333333333333
Weakless,1252,1000,252,21,2.0,2646.0
WeakWood Throne,1097,1000,97,21,2.0,1018.5
We. The Revolution,4489,1000,3489,38,57.0,2326.0
We should talk.,1181,1000,181,24,2.0,2172.0
We Were Here Too,1247,1000,247,20,3.0,1646.6666666666667
We Were Here Together,1387,1000,387,22,6.0,1419.0
We Were Here Forever,1279,1000,279,39,12.0,906.75
We Were Here Expeditions: The FriendShip,1344,1000,344,12,2.0,2064.0
We Were Here,1273,1000,273,26,1.0,7098.0
We Love Katamari REROLL+ Royal Reverie,2376,1000,1376,35,12.0,4013.3333333333335
We Happy Few,6054,1000,5054,40,40.0,5054.0
We Are The Dwarves,1576,1000,576,10,6.0,960.0
Wayward Strand,3530,1000,2530,29,18.0,4076.1111111111113
Way of the Passive Fist,3355,1000,2355,36,56.0,1513.9285714285713
Wavetale,1356,1000,356,14,4.0,1246.0
Wave Break,4059,1000,3059,15,20.0,2294.25
Watch_Dogs 2,2430,1100,1330,51,43.0,1577.4418604651162
Watch_Dogs,2481,1000,1481,38,50.0,1125.56
Watch Over Christmas,1303,1000,303,43,5.0,2605.8
Watch Dogs: Legion,2919,1030,1889,40,52.0,1453.076923076923
Wasteland Remastered,3579,1000,2579,35,25.0,3610.6
Wasteland 3,4791,1000,3791,62,120.0,1958.6833333333334
Wasteland 2: Director's Cut,2852,1000,1852,46,80.0,1064.9
Wartales,5090,1000,4090,64,150.0,1745.0666666666666
Warstone TD Gold Edition,2839,1000,1839,68,113.0,1106.654867256637
Warriors Orochi 4,1991,1000,991,44,40.0,1090.1
Warriors Orochi 3 Ultimate (JP),3234,1000,2234,44,362.0,271.5359116022099
Warriors Orochi 3 Ultimate (HK/TW),3834,1000,2834,44,222.0,561.6936936936937
Warriors Orochi 3 Ultimate (CN),3531,1000,2531,44,168.0,662.8809523809524
Warriors Orochi 3 Ultimate,8771,1000,7771,44,150.0,2279.4933333333333
Warrior Boy,1069,1000,69,10,1.0,690.0
WarriOrb,5942,1000,4942,68,35.0,9601.6
Warpips,3072,1000,2072,21,52.0,836.7692307692307
Warparty,2490,1000,1490,25,34.0,1095.5882352941176
Warp Bot (Xbox One),2106,2000,106,15,0.5,3180.0
Warm Snow,1840,1000,840,39,52.0,630.0
Warlock's Tower,1050,1000,50,21,1.0,1050.0
